id,name,clazz,oemId,tenantId,timeZone,maxValue,minValue,samplingRate,samplingRateUnit
701,SPI_POWER_TEST,Sensor,701,EIOT,Z,,,0,
702,EV Power ,PowerSensor,702,SPI,-07:00,,,0,
803,ACER_03,Sensor,803,SPI,-07:00,,,0,
804,MT Temp Test,Sensor,804,SPI,Z,,,0,
903,MT-903,Sensor,903,MT,Z,,,0,
908,MT-908,Sensor,908,MT,Z,,,0,
909,MT-909,Sensor,909,MT,Z,,,0,
10001,ABC_10001,Sensor,10001,EIOT,+07:00,,,0,
10010,AQI_10010,Sensor,10010,EIOT,+07:00,,,0,
10011,SA_WEATHER_10011,Sensor,10011,EIOT,Z,,,0,
10012,SCP_10012,Sensor,10012,EIOT,Z,,,0,
10013,WATER_QUAL_10013,Sensor,10013,EIOT,Z,,,0,
20001,RBR_POW_20001,Sensor,20001,RBR,Z,,,0,
20002,RBR_WAC_20002,Sensor,20002,RBR,Z,,,0,
20003,RBR_WAC_20003,Sensor,20003,RBR,Z,,,0,
20004,RBR_SEP_20004,Sensor,20004,RBR,Z,,,0,
20005,RBR_SAP_20004,Sensor,20005,RBR,Z,,,0,
20006,RBR ODOR,Sensor,20006,RBR,Z,,,0,
29001,DVT_ABC_29001,Sensor,29001,SPI,-07:00,,,0,
29002,DVT_SPT_29002,Sensor,29002,SPI,-07:00,,,0,
29010,DVTLORA ABC 29010,Sensor,29010,SPI,-07:00,,,0,
29011,DVTLORA_SPT_29011,Sensor,29011,SPI,-07:00,,,0,
29020,DVT_EIOT_FUEL_29020,Sensor,29020,AIT,-07:00,,,0,
29021,DVT_EIOT_FUEL_29021,Sensor,29021,SPI,Z,,,0,
34225,BELEB_TEST,Sensor,34225,,Z,,,0,
